TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akagami no Shirayuki-hime S2,http://3.bp.blogspot.com/-GxIYrv12-PU/VpRLepF21iI/AAAAAAAALbY/vYAsplkHXeM/s1600/77834__1452559171_36.80.218.10.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'\nProducers': ' Bones, FUNimation Entertainment', '\nGenres': ' Drama, Fantasy, Romance, Shoujo'}","Sinopsis:
Musim kedua dari Akagami no Shirayuki-hime.
Producers: Bones, FUNimation Entertainment
Genres: Drama, Fantasy, Romance, Shoujo
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Ajin S2,https://2.bp.blogspot.com/-5EyGP_26h5c/V_hlfFM3S_I/AAAAAAAAPeM/NCtcuAk5sBQcuhnkWfnh6gsGWqXccPLBwCLcB/s1600/81858__1475896665_180.253.132.21.jpg,http://www.mp4upload.com/embed-q7xxgge1yu1c.html,"{'Judul Asli': ' 亜人 第2クール', '\nTipe': ' TV', '\nStatus': ' Ongoing', '\nDisiarkan': ' Okt 08, 2016', '\nProduser': ' Polygon Pictures', '\nSkor': ' 7.78', '\nGenres': ' Action, Horror, Mystery, Seinen, Supernatural'}","Judul Asli: 亜人 第2クール
Tipe: TV
Status: Ongoing
Disiarkan: Okt 08, 2016
Produser: Polygon Pictures
Skor: 7.78
Genres: Action, Horror, Mystery, Seinen, Supernatural
Sinopsis Ajin S2:
Musim kedua dari serial anime Ajin.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akame ga Kill,http://animeindo.web.id/wp-content/uploads/2014/07/63651l.jpg,http://www.mp4upload.com/embed-4gsva1llu7ey.html,"{'Type': ' TV', 'Episode': ' 24', 'Status': ' Saat ini Disiarkan', 'Ditayangkan': ' Jul 7, 2014 sampai?', 'Produser': ' Square Enix, White Fox, Sentai FilmworksL, TOHO animation', 'Genre': ' Action, Adventure, Fantasy', 'Durasi': ' 23 min. per episode'}","Informasi:
Type: TV
Episode: 24
Status: Saat ini Disiarkan
Ditayangkan: Jul 7, 2014 sampai?
Produser: Square Enix, White Fox, Sentai FilmworksL, TOHO animation
Genre: Action, Adventure, Fantasy
Durasi: 23 min. per episode
Sinopsis:
Dalam dunia fantasi, pertarung Tatsumi mengatur Capitol untuk mendapatkan uang untuk desanya yang kelaparan, dan menemukan dunia penuh korupsi yang tak terbayangkan. Setelah hampir menjadi korban korupsi ini, Tatsumi direkrut oleh Night Raid, sekelompok pembunuh yang didedikasikan untuk menlenyapkan koruptor di Capitol dengan cara membunub mereka yang tak bertanggung jawab.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akanesasu Shoujo,http://animeindo.video/wp-content/uploads/2018/10/akanesasu-2.jpg,http://www.mp4upload.com/embed-4gsva1llu7ey.html,"{'Japanese': ' あかねさす少女', '\nProducer': ' DandeLion Animation Studio, Jumonji', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Action, School, Sci-Fi', '\nDurasi': ' 24 min', '\nEpisode': ' –', '\nRating': ' 6.41', '\nAdded On': ' Oktober 5th, 2018'}","Japanese: あかねさす少女
Producer: DandeLion Animation Studio, Jumonji
Type: TV Series
Status: Ongoing
Genre: Action, School, Sci-Fi
Durasi: 24 min
Episode: –
Rating: 6.41
Added On: Oktober 5th, 2018
Sinopsis:
Ada sebuah perkumpulan para gadis mereka sangat menyukai hal-hal tentang radio. mereka berusaha menemukan dunia lain, Dunia 4:44, dengan melakukan sebuah ritual di pohon suci dengan menemukan frekuensi radio yang tepat. Orang yang bersikeras ingin menemukan dunia itu adalah Asuka Tsuchimiya. Saat mereka berhasil menemukan frekuensi yang tepat, mereka berpindah ke dunia yang penuh dengan keemasan. Di dunia itu mereka mendapatkan serangan dari monster-monster yang ada di dunia itu, kemudian datang seorang gadis yang mirip dengan Asuka menolong mereka.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akatsuki no Yona,http://animeindo.web.id/wp-content/uploads/2014/10/64065.jpg,http://filetrip.net/embed?KbzI4hcc42,"{'\nType': ' TV', '\nEpisodes': ' Unknown', '\nStatus': ' Currently Airing', '\nAired': ' Oct 7, 2014 to ?', '\nProducers': ' Studio Pierrot', '\nGenres': ' Action, Comedy, Fantasy, Romance, Shoujo', '\nDuration': ' Unknown', '\nRating': ' None'}","Sinopsis:
Yona adalah seorang Putri semata wayang dari Raja Il. Putri manja yang segala keinginannya dipenuhi. Namun, saat dirinya ingin menikah dengan Soo-Won yang disukainya dari kecil, ayahnya tidak memperbolehkannya. Dan pada suatu malam, ia melihat Soo-Won membunuh Ayahnya. Untuk mengungkap alasan pembunuhan, untuk ayahnya, dan juga untuk rakyat yang dicintainya, Yona pun akhirnya keluar dari Kerajaannya. Dan saat itulah hidup Yona berubah.
Informasi:
Type: TV
Episodes: Unknown
Status: Currently Airing
Aired: Oct 7, 2014 to ?
Producers: Studio Pierrot
Genres: Action, Comedy, Fantasy, Romance, Shoujo
Duration: Unknown
Rating: None
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
